projectMainBranch,newContributorCount,hasContrib,readmeUrl,recentContributorCount,recentCommitCount,originUrl
44771244,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:db7c54e263f684c25487e3f9afbc8db9fc08bfc0/raw/,1,60,https://gitlab.com/betse/betsee.git
43084139,0,TRUE,null,4,150,https://gitlab.com/vstconsulting/polemarch.git
45673716,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:b35e4eb99571284e04447e76f88512c7e3cf9b22/raw/,0,0,deb://Debian/packages/tryton-modules-stock-supply-forecast
41206148,1,TRUE,null,1,1,https://github.com/quantopian/qgrid
43479302,10,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:5d9ef6b6b1131410dc909782cb39a03dfbc20e47/raw/,0,0,https://github.com/0voice/interview_internal_reference
44613069,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:808f72b181671c0beb44926a01e0c0de4dee59f1/raw/,1,1,https://github.com/eriklindernoren/ML-From-Scratch
42168109,5,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:47a0460ddf8f66e1e7417fa47687e781c5dab6f8/raw/,5,16,https://github.com/toml-lang/toml
45502574,0,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:664c73eb4c736e2615fdd4a0a772de41aefecc7b/raw/,1,1,https://github.com/seemoo-lab/opendrop
42653123,5,TRUE,null,0,0,https://github.com/Chia-Network/chia-blockchain
45578246,0,TRUE,null,2,7,https://github.com/deanishe/alfred-workflow
44243668,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:4b1d3c279a3f424d280ce30d60698f098c4be718/raw/,0,0,deb://Debian/packages/pyflakes
45605718,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:80731227dc8b642f0e346df8637929d3ed50f628/raw/,0,0,deb://Debian/packages/tryton-modules-stock-location-sequence
45671040,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:bfb7d3d8e50c066cae55c76033441ab993e7a6ef/raw/,0,0,deb://Debian/packages/nfoview
45325276,1,CHECKREADMECONTENT,https://archive.softwareheritage.org/api/1/content/sha1_git:4084941e52dc58cf85552e6e196220fe0a53acf6/raw/,0,0,https://pypi.org/project/marshmallow-enum/
44560206,1,TRUE,null,1,121,https://github.com/cirosantilli/linux-kernel-module-cheat
43014921,1,TRUE,null,6,138,https://github.com/chubin/cheat.sh
43132543,1,TRUE,null,1,3,https://github.com/detailyang/awesome-cheatsheet
