projectMainBranch,newContributorCount,hasContrib,readmeUrl,recentContributorCount,recentCommitCount,originUrl
31170806,0,TRUE,null,7,217,https://github.com/qtile/qtile
35765213,1,TRUE,null,4,19,https://github.com/dabeaz/curio
35814110,0,TRUE,null,9,389,https://github.com/boto/boto3
36067034,24,TRUE,null,89,2875,https://github.com/sympy/sympy
36096020,2,TRUE,null,13,187,https://github.com/Yorko/mlcourse.ai
36443957,0,FALSE,checked,7,124,https://gitlab.com/elixire/elixire.git
36621506,3,TRUE,null,15,843,https://github.com/pandas-dev/pandas
36741872,0,FALSE,checked,5,29,https://github.com/xingyizhou/CenterNet
38902679,0,FALSE,checked,5,40,https://github.com/openatx/uiautomator2
39309347,1,FALSE,checked,6,61,https://github.com/Netflix/flamescope
39552794,2,TRUE,null,3,25,https://github.com/awslabs/autogluon
39864324,1,TRUE,null,5,77,https://github.com/aws/aws-sam-cli
39962945,21,TRUE,null,64,863,https://github.com/scipy/scipy
39963699,1,FALSE,checked,2,51,https://github.com/timesler/facenet-pytorch
40111444,0,FALSE,checked,2,50,https://gitlab.com/kabaretstudio/kabaret.git
40115039,3,TRUE,null,0,0,https://github.com/microsoft/cascadia-code
40141592,2,TRUE,null,5,29,https://github.com/locustio/locust
40182677,2,TRUE,null,6,478,https://github.com/stanfordnlp/stanza
40316035,7,TRUE,null,19,493,https://github.com/OWASP/CheatSheetSeries
40338514,1,TRUE,checked,4,78,https://github.com/sebastianruder/NLP-progress
40413069,1,TRUE,null,7,350,https://github.com/cloud-custodian/cloud-custodian
40509362,10,TRUE,null,30,415,https://github.com/pypa/pip
40512898,4,TRUE,null,4,103,https://github.com/facebookresearch/maskrcnn-benchmark
40555460,0,FALSE,checked,6,217,https://github.com/EnableSecurity/wafw00f
40638291,1,FALSE,checked,2,412,https://github.com/iperov/DeepFaceLab
40673136,2,TRUE,checked,5,26,https://github.com/graphql-python/graphene
40802598,5,TRUE,null,0,0,https://github.com/pytorch/captum
40916178,4,TRUE,null,7,90,https://github.com/aws/serverless-application-model
41087877,1,FALSE,checked,4,576,https://github.com/edgedb/edgedb
41135666,1,FALSE,checked,0,0,https://pypi.org/project/pathlib2/
41171238,7,TRUE,null,0,0,https://github.com/uber/causalml
41171311,0,TRUE,null,1,28,https://github.com/donnemartin/awesome-aws
41194653,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-project-invoice
41206148,1,TRUE,null,1,1,https://github.com/quantopian/qgrid
41264539,2,FALSE,checked,17,271,https://github.com/NVIDIA/apex
41321444,0,FALSE,checked,7,151,https://gitlab.com/fumail/fuglu.git
41376744,1,TRUE,checked,0,0,https://pypi.org/project/azure-storage-common/
41388778,2,TRUE,null,8,84,https://github.com/weskerfoot/DeleteFB
41522929,8,TRUE,null,11,263,https://github.com/django-extensions/django-extensions
41539029,3,TRUE,null,12,203,https://github.com/pallets/werkzeug
41547330,1,TRUE,null,8,229,https://github.com/dask/dask
41564788,3,FALSE,checked,16,34,https://github.com/pallets/jinja
41589756,7,TRUE,null,3,136,https://github.com/PyTorchLightning/pytorch-lightning
41684236,0,FALSE,checked,6,55,https://github.com/insanum/gcalcli
41763367,0,FALSE,checked,1,72,https://github.com/ijl/orjson
41770953,1,TRUE,null,5,128,https://github.com/deepmind/sonnet
41836445,1,FALSE,checked,4,26,https://github.com/fighting41love/funNLP
41930296,10,TRUE,null,28,445,https://github.com/sherlock-project/sherlock
41944808,0,FALSE,checked,1,174,https://gitlab.com/Odyseus/CinnamonTools.git
42053142,0,TRUE,null,24,207,https://github.com/pallets/flask
42056206,0,FALSE,checked,2,6,https://github.com/brightmart/text_classification
42057675,0,FALSE,checked,1,75,https://github.com/TheKingOfDuck/fuzzDicts
42057902,0,FALSE,checked,1,1,https://gitlab.com/flashcode/gitchart.git
42066274,1,TRUE,null,4,21,https://github.com/sloria/TextBlob
42072151,0,FALSE,checked,1,5,https://github.com/wookayin/gpustat
42078637,0,TRUE,null,5,73,https://gitlab.com/EAVISE/brambox.git
42137343,0,FALSE,checked,2,95,https://github.com/neozhaoliang/pywonderland
42168109,5,FALSE,checked,5,16,https://github.com/toml-lang/toml
42175679,1,TRUE,null,5,67,https://github.com/idealo/imagededup
42182173,0,FALSE,checked,3,127,https://gitlab.com/betse/betse.git
42225720,1,FALSE,checked,0,0,deb://Debian/packages/pathological
42232034,3,TRUE,null,7,100,https://gitlab.com/librespacefoundation/satnogs/satnogs-db.git
42247351,1,FALSE,checked,0,0,https://pypi.org/project/pymongo/
42419091,0,FALSE,checked,3,94,https://github.com/ubuntu/microk8s
42487696,2,TRUE,null,5,46,https://github.com/yahoo/TensorFlowOnSpark
42608485,0,FALSE,checked,6,19,https://github.com/jhao104/proxy_pool
42614414,1,FALSE,checked,1,4,https://github.com/tartley/colorama
42639139,1,FALSE,checked,4,610,https://github.com/ultralytics/yolov3
42644481,2,FALSE,checked,0,0,https://github.com/rougier/matplotlib-cheatsheet
42647586,1,TRUE,null,9,120,https://github.com/pyro-ppl/pyro
42653123,5,TRUE,null,0,0,https://github.com/Chia-Network/chia-blockchain
42671753,1,FALSE,checked,0,0,https://pypi.org/project/moto/
42714161,9,TRUE,null,20,756,https://github.com/statsmodels/statsmodels
42744464,1,TRUE,null,5,8,https://github.com/google-research/arxiv-latex-cleaner
42765086,28,TRUE,null,17,114,https://github.com/openvinotoolkit/open_model_zoo
42774683,3,TRUE,null,14,155,https://github.com/jazzband/pip-tools
42802486,0,TRUE,checked,2,14,https://github.com/joblib/joblib
42803583,0,FALSE,checked,2,14,https://github.com/madmaze/pytesseract
42862328,1,TRUE,checked,0,0,https://pypi.org/project/great-expectations/
42866621,1,TRUE,checked,2,34,https://github.com/ktbyers/netmiko
42890167,0,TRUE,null,1,1,https://github.com/burnash/gspread
42894707,2,TRUE,null,8,32,https://gitlab.com/pycqa/pycodestyle.git
42906921,0,FALSE,checked,1,5,https://gitlab.com/ricvelozo/scripts.git
43007899,1,FALSE,checked,0,0,https://pypi.org/project/fastparquet/
43014921,1,TRUE,null,6,138,https://github.com/chubin/cheat.sh
43022071,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-sale-shipment-cost
43028028,3,TRUE,null,6,210,https://github.com/encode/httpx
43035027,0,TRUE,null,4,23,https://github.com/thumbor/thumbor
43093663,0,FALSE,checked,0,0,https://gitlab.com/Fahmi.Salleh/venvtools.git
43132543,1,TRUE,null,1,3,https://github.com/detailyang/awesome-cheatsheet
43136949,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-production
43151479,1,FALSE,checked,5,87,https://github.com/NVlabs/SPADE
43160692,0,FALSE,checked,3,114,https://github.com/OUCMachineLearning/OUCML
43236281,1,TRUE,null,6,116,https://gitlab.com/librespacefoundation/satnogs/satnogs-network.git
43349419,0,FALSE,checked,3,180,https://github.com/dbolya/yolact
43370031,0,FALSE,checked,1,30,https://github.com/lazyprogrammer/machine_learning_examples
43372599,1,FALSE,checked,3,4,https://github.com/lyst/lightfm
43375697,0,TRUE,null,3,176,https://github.com/simonw/datasette
43406091,2,FALSE,checked,0,0,https://github.com/yuanxiaosc/DeepNude-an-Image-to-Image-technology
43406641,1,FALSE,checked,0,0,https://pypi.org/project/msrest/
43422429,2,FALSE,checked,1,2,https://github.com/benfred/implicit
43423300,1,TRUE,null,9,49,https://github.com/benoitc/gunicorn
43463393,2,FALSE,checked,0,0,https://github.com/taki0112/UGATIT
43466263,1,TRUE,null,0,0,deb://Debian/packages/python-tosca-parser
43479302,10,FALSE,checked,0,0,https://github.com/0voice/interview_internal_reference
43497138,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-project-plan
43525084,3,FALSE,checked,7,585,https://github.com/PaddlePaddle/PaddleHub
43531378,4,TRUE,null,16,2277,https://github.com/nccgroup/ScoutSuite
43593309,2,FALSE,checked,0,0,https://github.com/jiangxufeng/v2rayL
43614998,1,TRUE,null,0,0,https://pypi.org/project/knack/
43616769,0,TRUE,null,4,43,https://github.com/ActivityWatch/activitywatch
43616941,1,TRUE,null,0,0,deb://Debian/packages/python-gabbi
43629186,5,TRUE,null,15,798,https://github.com/plotly/dash
43638670,0,TRUE,null,6,647,https://github.com/Yelp/mrjob
43668850,39,TRUE,null,15,212,https://github.com/microsoft/nlp-recipes
43670200,13,TRUE,null,0,0,https://github.com/FederatedAI/FATE
43677934,1,FALSE,checked,5,14,https://github.com/avinashpaliwal/Super-SloMo
43680284,1,FALSE,checked,0,0,https://github.com/zq1997/deepin-wine
43697795,0,FALSE,checked,2,24,https://gitlab.com/dansanti/facturacion_electronica.git
43723320,12,TRUE,null,21,244,https://github.com/jupyterhub/jupyterhub
43752295,0,TRUE,null,8,441,https://github.com/facebookresearch/ParlAI
43793673,6,FALSE,checked,2,12,https://github.com/sfyc23/EverydayWechat
43837324,0,FALSE,checked,1,25,https://gitlab.com/zef1r/mockify.git
43844480,1,FALSE,checked,0,0,https://pypi.org/project/deprecation/
43869922,0,TRUE,null,9,431,https://github.com/conan-io/conan
43909805,0,FALSE,checked,2,27,https://github.com/corpnewt/gibMacOS
43919692,1,TRUE,checked,0,0,https://pypi.org/project/Flask-Cors/
43922842,1,FALSE,checked,0,0,https://pypi.org/project/autograd/
43925272,0,TRUE,null,6,402,https://github.com/ytdl-org/youtube-dl
43937592,2,FALSE,checked,3,14,https://github.com/pwr-Solaar/Solaar
43938353,0,FALSE,checked,1,9,https://github.com/asweigart/pyautogui
43949296,1,TRUE,checked,0,0,https://pypi.org/project/koalas/
43960746,5,TRUE,null,1,1,https://github.com/cookiecutter/cookiecutter
43968580,5,TRUE,null,17,146,https://github.com/GoogleCloudPlatform/python-docs-samples
44010489,0,FALSE,checked,6,57,https://github.com/bitsadmin/wesng
44020085,0,TRUE,null,6,79,https://github.com/pytorch/ignite
44020991,0,FALSE,checked,3,30,https://gitlab.com/pycqa/pep8-naming.git
44035508,1,FALSE,checked,0,0,https://pypi.org/project/cx-Oracle/
44045880,1,FALSE,checked,1,3,https://github.com/yunjey/pytorch-tutorial
44069493,0,FALSE,checked,5,153,https://github.com/automl/auto-sklearn
44084294,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-party-siret
44112491,1,FALSE,checked,0,0,https://pypi.org/project/sshtunnel/
44117342,4,FALSE,checked,0,0,https://github.com/UKPLab/sentence-transformers
44129627,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-company-work-time
44156050,1,TRUE,null,0,0,deb://Debian/packages/mailman3
44165076,6,FALSE,checked,1,4,https://github.com/OlafenwaMoses/ImageAI
44190671,1,TRUE,null,5,55,https://github.com/pallets/flask-sqlalchemy
44191103,1,FALSE,checked,0,0,deb://Debian/packages/python-xvfbwrapper
44225462,2,TRUE,checked,6,45,https://github.com/arrow-py/arrow
44243668,1,TRUE,checked,0,0,deb://Debian/packages/pyflakes
44254030,1,FALSE,checked,0,0,https://pypi.org/project/prison/
44287558,0,TRUE,null,4,36,https://github.com/tortoise/tortoise-orm
44333779,1,FALSE,checked,0,0,https://pypi.org/project/sentry-sdk/
44340301,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-sale
44406206,1,TRUE,null,10,152,https://github.com/Eloston/ungoogled-chromium
44408285,0,FALSE,checked,1,24,https://gitlab.com/BVollmerhaus/blurwal.git
44408549,1,TRUE,null,8,120,https://github.com/feast-dev/feast
44414678,1,TRUE,null,0,0,deb://Debian/packages/python-gear
44416403,0,FALSE,checked,9,83,https://github.com/jackfrued/Python-100-Days
44425110,4,TRUE,null,10,390,https://github.com/kornia/kornia
44428507,2,FALSE,checked,3,53,https://github.com/crazyguitar/pysheeet
44458645,4,TRUE,null,8,70,https://github.com/albumentations-team/albumentations
44477694,0,FALSE,checked,4,52,https://github.com/miguelgrinberg/python-socketio
44495742,1,FALSE,checked,0,0,https://pypi.org/project/cleo/
44506068,1,FALSE,checked,0,0,https://github.com/bojone/bert4keras
44526281,0,FALSE,checked,1,1,https://github.com/xinntao/ESRGAN
44529996,3,FALSE,checked,4,100,https://github.com/CorentinJ/Real-Time-Voice-Cloning
44531717,0,FALSE,checked,1,5,https://gitlab.com/edleh/pampi.git
44533368,1,TRUE,null,26,906,https://github.com/mesonbuild/meson
44533386,7,TRUE,null,16,74,https://github.com/psf/requests
44556595,1,FALSE,checked,0,0,deb://Debian/packages/tryton-modules-country
44560206,1,TRUE,null,1,121,https://github.com/cirosantilli/linux-kernel-module-cheat
44565362,5,TRUE,null,19,2354,https://github.com/PrefectHQ/prefect
44581340,0,TRUE,checked,2,9,https://github.com/lukemelas/EfficientNet-PyTorch
44605702,0,TRUE,null,2,126,https://github.com/keras-team/autokeras
44605878,0,FALSE,checked,2,181,https://gitlab.com/DukeValentine/nhentai-downloader.git
44606656,0,TRUE,null,6,202,https://github.com/python/typeshed
44613069,0,FALSE,checked,1,1,https://github.com/eriklindernoren/ML-From-Scratch
